1for train
processed 47000 examples
processed 94000 examples
error
unpickled total 98700 examples
(98700, 9, 64, 64)
(98700, 1, 64, 64)
(98700,)
error
unpickled total 18800 examples
(18800, 9, 64, 64)
(18800, 1, 64, 64)
(18800,)
USE 1 GPUs!
Epoch: 0 | Batch: 480 |  Cross_Loss: (5.4124) | image_Loss: (162.7525) | Acc: (16.00%) (4930/30784)
Epoch: 0 | Batch: 490 |  Cross_Loss: (5.3398) | image_Loss: (163.9924) | Acc: (16.00%) (5259/31424)
Epoch: 0 | Batch: 500 |  Cross_Loss: (5.2695) | image_Loss: (165.1568) | Acc: (17.00%) (5583/32064)
Epoch: 0 | Batch: 510 |  Cross_Loss: (5.2008) | image_Loss: (166.2798) | Acc: (18.00%) (5912/32704)
Epoch: 0 | Batch: 520 |  Cross_Loss: (5.1335) | image_Loss: (167.4064) | Acc: (18.00%) (6248/33344)
Epoch: 0 | Batch: 530 |  Cross_Loss: (5.0681) | image_Loss: (168.5060) | Acc: (19.00%) (6594/33984)
Epoch: 0 | Batch: 540 |  Cross_Loss: (5.0025) | image_Loss: (169.6221) | Acc: (20.00%) (6959/34624)
Epoch: 0 | Batch: 550 |  Cross_Loss: (4.9408) | image_Loss: (170.7140) | Acc: (20.00%) (7302/35264)
Epoch: 0 | Batch: 560 |  Cross_Loss: (4.8800) | image_Loss: (171.8000) | Acc: (21.00%) (7654/35904)
Epoch: 0 | Batch: 570 |  Cross_Loss: (4.8179) | image_Loss: (172.8723) | Acc: (22.00%) (8052/36544)
Epoch: 0 | Batch: 580 |  Cross_Loss: (4.7584) | image_Loss: (173.9184) | Acc: (22.00%) (8436/37184)
Epoch: 0 | Batch: 590 |  Cross_Loss: (4.7012) | image_Loss: (174.9896) | Acc: (23.00%) (8816/37824)
Epoch: 0 | Batch: 600 |  Cross_Loss: (4.6438) | image_Loss: (176.0607) | Acc: (23.00%) (9222/38464)
Epoch: 0 | Batch: 610 |  Cross_Loss: (4.5878) | image_Loss: (177.1344) | Acc: (24.00%) (9631/39104)
Epoch: 0 | Batch: 620 |  Cross_Loss: (4.5341) | image_Loss: (178.1755) | Acc: (25.00%) (10023/39744)
Epoch: 0 | Batch: 630 |  Cross_Loss: (4.4810) | image_Loss: (179.2107) | Acc: (25.00%) (10421/40384)
Epoch: 0 | Batch: 640 |  Cross_Loss: (4.4271) | image_Loss: (180.2183) | Acc: (26.00%) (10848/41024)
Epoch: 0 | Batch: 650 |  Cross_Loss: (4.3755) | image_Loss: (181.2283) | Acc: (27.00%) (11283/41664)
Epoch: 0 | Batch: 660 |  Cross_Loss: (4.3254) | image_Loss: (182.2530) | Acc: (27.00%) (11714/42304)
